ID,item.WG,item.WS,definition,category
51,d03_01,a03_01,汽車(車車、ㄅㄨㄅㄨ),vehicles
52,d03_02,a03_02,飛機,vehicles
53,d03_03,a03_03,垃圾車,vehicles
54,d03_04,a03_04,機車(摩托車),vehicles
55,d03_05,a03_05,火車,vehicles
56,d03_06,a03_06,船,vehicles
57,d03_07,a03_07,腳踏車,vehicles
58,d03_08,a03_08,公車(巴士),vehicles
59,d03_09,a03_09,娃娃車(手推車),vehicles
60,d03_10,a03_10,三輪車,vehicles
61,d04_01,a04_01,牛奶(ㄋㄟㄋㄟ),food_drink
62,d04_02,a04_02,水(茶茶),food_drink
63,d04_03,a04_03,麵,food_drink
64,d04_04,a04_04,飯,food_drink
65,d04_05,a04_05,餅乾,food_drink
66,d04_06,a04_06,香蕉,food_drink
67,d04_07,a04_07,肉,food_drink
68,d04_08,a04_08,蛋,food_drink
69,d04_09,a04_09,麵包,food_drink
70,d04_10,a04_10,蘋果,food_drink
71,d04_11,a04_11,葡萄,food_drink
72,d04_12,a04_12,糖果,food_drink
73,d04_13,a04_13,蔬菜,food_drink
74,d04_14,a04_14,草莓,food_drink
75,d04_15,a04_15,紅(白)蘿蔔,food_drink
76,d04_16,a04_16,布丁,food_drink
77,d04_17,a04_17,蛋糕,food_drink
78,d04_18,a04_18,西瓜,food_drink
79,d04_19,a04_19,稀飯,food_drink
80,d04_20,a04_20,芭樂,food_drink
81,d04_21,a04_21,水果,food_drink
82,d04_22,a04_22,蕃茄,food_drink
83,d04_23,a04_23,冰淇淋,food_drink
84,d04_24,a04_24,果汁,food_drink
85,d04_25,a04_25,柳丁,food_drink
86,d04_26,a04_26,櫻桃,food_drink
87,d04_27,a04_27,葡萄乾,food_drink
88,d04_28,a04_28,豆漿,food_drink
89,d04_29,a04_29,汽水,food_drink
90,d04_30,a04_30,飲料,food_drink
91,d04_31,a04_31,梨子,food_drink
92,d04_32,a04_32,饅頭,food_drink
93,d04_33,a04_33,土司,food_drink
94,d04_34,a04_34,食物,food_drink
95,d04_35,a04_35,湯,food_drink
96,d05_01,a05_01,鞋子,clothing
97,d05_02,a05_02,尿布,clothing
98,d05_03,a05_03,褲子,clothing
99,d05_04,a05_04,衣物,clothing
100,d05_05,a05_05,襪子,clothing
101,d05_06,a05_06,帽子,clothing
102,d05_07,a05_07,圍兜(兜),clothing
103,d05_08,a05_08,夾克(外套),clothing
104,d05_09,a05_09,拉鍊,clothing
105,d05_10,a05_10,扣子,clothing
106,d05_11,a05_11,拖鞋,clothing
107,d05_12,a05_12,背心,clothing
108,d05_13,a05_13,手套,clothing
109,d05_14,a05_14,長褲,clothing
110,d05_15,a05_15,短褲,clothing
111,d05_16,a05_16,裙子,clothing
112,d06_01,a06_01,球,toys
113,d06_02,a06_02,氣球,toys
114,d06_03,a06_03,筆,toys
115,d06_04,a06_04,書,toys
116,d06_05,a06_05,娃娃(洋娃娃),toys
117,d06_06,a06_06,玩具,toys
118,d06_07,a06_07,泡泡,toys
119,d06_08,a06_08,貼紙,toys
120,d06_09,a06_09,積木,toys
121,d06_10,a06_10,鉛筆,toys
122,d06_11,a06_11,彩色筆,toys
123,d07_01,a07_01,電話,household
124,d07_02,a07_02,杯子,household
125,d07_03,a07_03,牙刷,household
126,d07_04,a07_04,電視,household
127,d07_05,a07_05,湯匙,household
128,d07_06,a07_06,鑰匙,household
129,d07_07,a07_07,毯子(被子),household
130,d07_08,a07_08,藥,household
131,d07_09,a07_09,碗,household
132,d07_10,a07_10,吸管,household
133,d07_11,a07_11,錢,household
134,d07_12,a07_12,枕頭,household
135,d07_13,a07_13,眼鏡,household
136,d07_14,a07_14,垃圾桶,household
137,d07_15,a07_15,筷子,household
138,d07_16,a07_16,垃圾,household
139,d07_17,a07_17,毛巾,household
140,d07_18,a07_18,鏡子,household
141,d07_19,a07_19,梳子,household
142,d07_20,a07_20,掃把,household
143,d07_21,a07_21,肥皂,household
144,d07_22,a07_22,紙,household
145,d07_23,a07_23,盤子,household
146,d07_24,a07_24,時鐘(鬧鐘),household
147,d07_25,a07_25,瓶子,household
148,d07_26,a07_26,收音機/音響,household
149,d07_27,a07_27,鍋子,household
150,d07_28,a07_28,盒子,household
151,d07_29,a07_29,電鍋,household
152,d07_30,a07_30,銅板(零錢),household
153,d07_31,a07_31,皮包,household
154,d07_32,a07_32,圖片,household
155,d08_01,a08_01,椅子,furniture_rooms
156,d08_02,a08_02,門,furniture_rooms
157,d08_03,a08_03,桌子,furniture_rooms
158,d08_04,a08_04,床,furniture_rooms
159,d08_05,a07_36,冰箱,household
160,d08_06,a08_05,廁所,furniture_rooms
161,d08_07,a08_07,窗戶,furniture_rooms
162,d08_08,a08_08,客廳,furniture_rooms
163,d08_09,a08_09,廚房,furniture_rooms
164,d08_10,a08_10,抽屜,furniture_rooms
165,d08_11,a08_11,電梯,furniture_rooms
166,d08_12,a08_12,沙發,furniture_rooms
167,d08_13,a08_13,臥(房)室,furniture_rooms
168,d08_14,a08_14,浴室,furniture_rooms
169,d08_15,a08_15,水槽(洗手檯),furniture_rooms
170,d08_16,a08_16,嬰兒床,furniture_rooms
171,d09_01,a09_01,花,outside
172,d09_02,a09_02,下雨,outside
173,d09_03,a09_03,溜滑梯,outside
174,d09_04,a09_04,樹,outside
175,d09_05,a09_05,石頭,outside
176,d09_06,a09_06,雨傘,outside
177,d09_07,a10_01,家,places
178,d09_08,a09_07,太陽,outside
179,d09_09,a09_08,月亮,outside
180,d09_10,a09_09,星星,outside
181,d09_11,a10_02,房子,places
182,d09_12,NA,7-11(任何商店名稱),NA
183,d09_13,a09_10,紅綠燈,outside
184,d09_14,a10_06,公園,places
185,d09_15,NA,XX園(某遊樂園名稱),NA
186,d09_16,a09_12,草,outside
187,d09_17,a09_13,鞦韆,outside
188,d09_18,a09_16,翹翹板,outside
189,d09_19,NA,醫院(診所),NA
190,d10_01,a11_01,再見(byebye),games_routines
191,d10_02,a11_02,謝謝,games_routines
192,d10_03,a11_03,睡覺,games_routines
193,d10_04,a11_04,晚安,games_routines
194,d10_05,a11_05,吃飯,games_routines
195,d10_06,a11_06,洗澡,games_routines
196,d10_07,a11_07,刷牙,games_routines
197,d10_08,a11_08,哈囉(嗨),games_routines
198,d10_09,a11_09,讀書(看書),games_routines
199,d10_10,a11_10,噓/噓噓(安靜),games_routines
200,d10_11,a11_11,換尿布,games_routines
201,d10_12,a11_12,跳舞,games_routines
202,d10_13,a11_13,唱歌,games_routines
203,d10_14,a11_14,看電視,games_routines
204,d10_15,a11_15,對不起,games_routines
205,d10_16,a11_16,打電話,games_routines
206,d10_17,a11_17,躲貓貓,games_routines
207,d10_18,a11_18,逛街/買東西,games_routines
208,d10_19,a11_19,玩遊戲,games_routines
209,d10_20,a11_20,上廁所(尿尿、便便),games_routines
210,d10_21,a11_21,拍拍手,games_routines
211,d10_22,a11_22,開車,games_routines
212,d11_01,a12_01,爸爸/爹地,people
213,d11_02,a12_02,媽媽/媽咪,people
214,d11_03,a12_03,姊姊,people
215,d11_04,a12_04,奶奶,people
216,d11_05,a12_05,哥哥,people
217,d11_06,a12_06,爺爺,people
218,d11_07,a12_07,叔叔,people
219,d11_08,a12_08,姑姑,people
220,d11_09,a12_09,舅舅,people
221,d11_10,a12_10,阿姨(姨媽),people
222,d11_11,a12_11,小寶寶(小貝比),people
223,d11_12,a12_12,自己的名字,people
224,d11_13,a12_13,妹妹,people
225,d11_14,a12_14,弟弟,people
226,d11_15,a12_15,外婆,people
227,d11_16,a12_16,外公,people
228,d11_17,a12_17,伯伯,people
229,d11_18,a12_18,醫生,people
230,d11_19,a12_19,小朋友,people
231,d11_20,a12_20,褓母(奶媽),people
232,d11_21,a12_21,我,people
233,d11_22,a12_22,你,people
234,d11_23,a12_23,我的,people
235,d11_24,a12_24,你的,people
236,d11_25,a12_25,他,people
237,d11_26,a12_26,他的,people
238,d11_27,a12_27,家人的名字,people
239,d11_28,a12_28,寵物的名字,people
240,d12_01,a13_01,等一下,time_words
241,d12_02,a13_02,開始,time_words
242,d12_03,a13_03,晚上,time_words
243,d12_04,a13_04,完了(結束的意思),time_words
244,d13_01,a14_01,在這裡,locations
245,d13_02,a14_02,走開,locations
246,d13_03,a14_03,過來,locations
247,d13_04,a14_04,在那裡,locations
248,d13_05,a14_05,後面,locations
249,d13_06,a14_06,前面,locations
250,d13_07,a14_07,外面,locations
251,d13_08,a14_08,裡面,locations
252,d13_09,a14_09,到…某個地方,locations
253,d13_10,a14_10,在…前面,locations
254,d13_11,a14_11,在…外面,locations
255,d14_01,a15_01,抱(抱),action_words
256,d14_02,a15_02,吃,action_words
257,d14_03,a15_03,不要,action_words
258,d14_04,a15_04,要,action_words
259,d14_05,a15_05,是/對/好,action_words
260,d14_06,a15_06,打,action_words
261,d14_07,a15_07,走/散步,action_words
262,d14_08,a15_08,洗,action_words
263,d14_09,a15_09,坐,action_words
264,d14_10,a15_10,喝,action_words
265,d14_11,a15_11,哭,action_words
266,d14_12,a15_12,拍(手),action_words
267,d14_13,a15_13,看,action_words
268,d14_14,a15_14,咬,action_words
269,d14_15,a15_15,拿,action_words
270,d14_16,a15_16,穿,action_words
271,d14_17,a15_17,打開,action_words
272,d14_18,a15_18,跑,action_words
273,d14_19,a15_19,玩,action_words
274,d14_20,a15_20,去,action_words
275,d14_21,a15_21,來,action_words
276,d14_22,a15_22,親,action_words
277,d14_23,a15_23,關,action_words
278,d14_24,a15_24,跳,action_words
279,d14_25,a15_25,騎,action_words
280,d14_26,a15_26,掉,action_words
281,d14_27,a15_27,不是/不對/不好,action_words
282,d14_28,a15_28,跌倒,action_words
283,d14_29,a15_29,吹,action_words
284,d14_30,a15_30,擦,action_words
285,d14_31,a15_31,好了,action_words
286,d14_32,a15_32,給,action_words
287,d14_33,a15_33,不可以/不行,action_words
288,d14_34,a15_34,笑,action_words
289,d14_35,a15_35,快點/快一點,action_words
290,d14_36,a15_36,撿,action_words
291,d14_37,a15_37,摸,action_words
292,d14_38,a15_38,爬,action_words
293,d14_39,a15_39,說話,action_words
294,d14_40,a15_41,握手,action_words
295,d14_41,a15_42,餵,action_words
296,d14_42,a15_43,聽,action_words
297,d14_43,a15_44,敲,action_words
298,d14_44,a15_45,搖,action_words
299,d14_45,a15_46,放,action_words
300,d14_46,a15_47,拉,action_words
301,d14_47,a15_48,踢,action_words
302,d14_48,a15_49,碰/撞,action_words
303,d14_49,a15_50,抓,action_words
304,d14_50,a15_51,叫,action_words
305,d14_51,a15_52,停,action_words
306,d14_52,a15_53,排(東西),action_words
307,d14_53,a15_54,按,action_words
308,d14_54,a15_55,搔癢,action_words
309,d14_55,a15_56,壓,action_words
310,d14_56,a15_57,丟,action_words
311,d14_57,a15_58,畫畫,action_words
312,d14_58,a15_59,脫,action_words
313,d14_59,a15_60,牽(手),action_words
314,d15_01,a17_01,好熱/熱熱的,descriptive_words
315,d15_02,a17_02,好燙/燙燙的,descriptive_words
316,d15_03,a17_03,好棒,descriptive_words
317,d15_04,a17_04,好痛/痛痛的,descriptive_words
318,d15_05,a17_05,好臭/臭臭的,descriptive_words
319,d15_06,a17_06,髒髒的/骯髒的,descriptive_words
320,d15_07,a17_07,害怕的(好恐怖),descriptive_words
321,d15_08,a17_08,暗暗的,descriptive_words
322,d15_09,a17_09,亮亮的,descriptive_words
323,d15_10,a17_10,濕濕的,descriptive_words
324,d15_11,a17_11,破了/破掉了,descriptive_words
325,d15_12,a17_12,好可愛/可愛的,descriptive_words
326,d15_13,a17_13,想睡覺,descriptive_words
327,d15_14,a17_14,好漂亮/漂亮的,descriptive_words
328,d15_15,a17_15,好高/高高的,descriptive_words
329,d15_16,a17_16,口渴了/好渴,descriptive_words
330,d15_17,a17_17,好冷/冷冷的,descriptive_words
331,d15_18,a17_18,好香/香香的,descriptive_words
332,d15_19,a17_19,很好吃/好吃的,descriptive_words
333,d15_20,a17_20,餓了/好餓,descriptive_words
334,d15_21,a17_21,飽了/好飽,descriptive_words
335,d15_22,a17_22,小心,descriptive_words
336,d15_23,a17_23,壞的,descriptive_words
337,d15_24,a17_24,甜甜的,descriptive_words
338,d15_25,a17_25,睡著了,descriptive_words
339,d15_26,a17_26,快樂的/高興的,descriptive_words
340,d15_27,a17_27,乾淨的,descriptive_words
341,d15_28,a17_28,空空的,descriptive_words
342,d15_29,a17_29,不乖,descriptive_words
343,d16_01,a18_01,這個,quantifiers
344,d16_02,a18_02,一個(二、三個…),quantifiers
345,d16_03,a18_03,好多,quantifiers
346,d16_04,a18_04,沒半個/沒有,quantifiers
347,d16_05,a18_05,還有,quantifiers
348,d16_06,a18_06,那個,quantifiers
349,d17_01,a19_01,什麼？,question_words
350,d17_02,a19_02,哪裡？,question_words
351,d17_03,a19_03,哪一個？,question_words
352,d17_04,a19_04,誰？,question_words
353,d17_05,a19_05,怎麼(辦)？,question_words
354,d17_06,a19_06,咦？,question_words
355,NA,a01_31,小雞,animals
356,NA,a01_32,蟑螂,animals
357,NA,a01_33,鱷魚,animals
358,NA,a01_34,毛毛蟲,animals
359,NA,a01_35,蝦子,animals
360,NA,a01_36,公雞,animals
361,NA,a01_37,河馬,animals
362,NA,a01_38,蒼蠅,animals
363,NA,a01_39,蛇,animals
364,NA,a01_40,蝸牛,animals
365,NA,a01_41,綿羊,animals
366,NA,a01_42,狼(大野狼),animals
367,NA,a01_43,海豚,animals
368,NA,a01_44,蜘蛛,animals
369,NA,a01_45,鵝,animals
370,NA,a01_46,貓頭鷹,animals
371,NA,a01_47,松鼠,animals
372,NA,a01_48,鯊魚,animals
373,NA,a01_49,鴿子,animals
374,NA,a01_50,母雞,animals
375,NA,a01_51,老鷹,animals
376,NA,a01_52,孔雀,animals
377,NA,a01_53,鸚鵡,animals
378,NA,a01_54,蛤蠣(貝殼),animals
379,NA,a01_55,蚯蚓,animals
380,NA,a02_21,指甲,body_parts
381,NA,a02_22,嘴唇,body_parts
382,NA,a02_23,背,body_parts
383,NA,a02_24,下巴,body_parts
384,NA,a02_25,膝蓋,body_parts
385,NA,a02_26,肩膀,body_parts
386,NA,a02_27,大腿,body_parts
387,NA,a02_28,手臂,body_parts
388,NA,a02_29,小腿,body_parts
389,NA,a03_11,計程車,vehicles
390,NA,a03_12,怪手(挖土機),vehicles
391,NA,a03_13,救護車,vehicles
392,NA,a03_14,消防車,vehicles
393,NA,a03_15,卡車,vehicles
394,NA,a03_16,直昇機,vehicles
395,NA,a03_17,吊車,vehicles
396,NA,a04_36,養樂多,food_drink
397,NA,a04_37,玉米,food_drink
398,NA,a04_38,木瓜,food_drink
399,NA,a04_39,糖,food_drink
400,NA,a04_40,巧克力,food_drink
401,NA,a04_41,棒棒糖,food_drink
402,NA,a04_42,薯條,food_drink
403,NA,a04_43,水餃,food_drink
404,NA,a04_44,甜甜圈,food_drink
405,NA,a04_45,茶,food_drink
406,NA,a04_46,花生,food_drink
407,NA,a04_47,包子,food_drink
408,NA,a04_48,漢堡,food_drink
409,NA,a04_49,披薩,food_drink
410,NA,a04_50,香腸,food_drink
411,NA,a04_51,咖啡,food_drink
412,NA,a04_52,雞肉,food_drink
413,NA,a04_53,果凍,food_drink
414,NA,a04_54,爆米花,food_drink
415,NA,a04_55,口香糖,food_drink
416,NA,a04_56,雞塊,food_drink
417,NA,a04_57,點心,food_drink
418,NA,a04_58,檸檬,food_drink
419,NA,a04_59,三明治,food_drink
420,NA,a04_60,蛋餅,food_drink
421,NA,a04_61,奶茶,food_drink
422,NA,a04_62,馬鈴薯,food_drink
423,NA,a04_63,奇異果,food_drink
424,NA,a04_64,洋芋片,food_drink
425,NA,a04_65,可樂,food_drink
426,NA,a04_66,蕃茄醬,food_drink
427,NA,a04_67,豆子,food_drink
428,NA,a04_68,醬油,food_drink
429,NA,a04_69,起司(乳酪),food_drink
430,NA,a04_70,果醬,food_drink
431,NA,a04_71,香瓜(哈密瓜),food_drink
432,NA,a04_72,冰棒,food_drink
433,NA,a04_73,菠菜,food_drink
434,NA,a04_74,南瓜,food_drink
435,NA,a04_75,火腿,food_drink
436,NA,a04_76,餛飩,food_drink
437,NA,a04_77,橘子,food_drink
438,NA,a05_17,安全帽,clothing
439,NA,a05_18,內褲(三角褲),clothing
440,NA,a05_19,口罩,clothing
441,NA,a05_20,雨衣,clothing
442,NA,a05_21,涼鞋,clothing
443,NA,a05_22,布鞋(運動鞋),clothing
444,NA,a05_23,項鍊,clothing
445,NA,a05_24,圍巾,clothing
446,NA,a05_25,泳衣,clothing
447,NA,a05_26,珠珠,clothing
448,NA,a05_27,皮帶,clothing
449,NA,a05_28,皮鞋,clothing
450,NA,a05_29,毛衣,clothing
451,NA,a05_30,睡衣(褲),clothing
452,NA,a06_12,拼圖,toys
453,NA,a06_13,禮物,toys
454,NA,a06_14,機器人,toys
455,NA,a06_15,蠟筆,toys
456,NA,a06_16,鼓,toys
457,NA,a06_17,黏土,toys
458,NA,a06_18,膠水,toys
459,NA,a06_19,手槍,toys
460,NA,a06_20,球棒,toys
461,NA,a07_33,手機,household
462,NA,a07_34,電燈,household
463,NA,a07_35,衛生紙(面紙),household
464,NA,a07_37,牙膏,household
465,NA,a07_38,吹風機,household
466,NA,a07_39,剪刀,household
467,NA,a07_40,冷氣,household
468,NA,a07_41,電風扇,household
469,NA,a07_42,相機,household
470,NA,a07_43,遙控器,household
471,NA,a07_44,書包,household
472,NA,a07_45,袋子,household
473,NA,a07_46,刀子,household
474,NA,a07_47,叉子,household
475,NA,a07_48,照片,household
476,NA,a07_49,插頭,household
477,NA,a07_50,籃子,household
478,NA,a07_51,拖把,household
479,NA,a07_52,光碟(CD或DVD),household
480,NA,a07_53,刷子,household
481,NA,a07_54,水桶,household
482,NA,a07_55,玻璃(玻璃杯),household
483,NA,a07_56,罐子,household
484,NA,a07_57,水壺,household
485,NA,a07_58,釘子,household
486,NA,a08_06,樓梯,furniture_rooms
487,NA,a08_17,馬桶,furniture_rooms
488,NA,a08_18,電腦,furniture_rooms
489,NA,a08_19,房間,furniture_rooms
490,NA,a08_20,洗衣機,furniture_rooms
491,NA,a08_21,地板,furniture_rooms
492,NA,a08_22,櫃子,furniture_rooms
493,NA,a08_23,浴缸,furniture_rooms
494,NA,a08_24,衣櫥,furniture_rooms
495,NA,a08_25,餐桌,furniture_rooms
496,NA,a08_26,微波爐,furniture_rooms
497,NA,a08_27,陽台,furniture_rooms
498,NA,a09_11,葉子,outside
499,NA,a09_14,雲,outside
500,NA,a09_15,風,outside
501,NA,a09_17,馬路,outside
502,NA,a09_18,土/泥土,outside
503,NA,a09_19,打雷,outside
504,NA,a09_20,風箏,outside
505,NA,a09_21,天空,outside
506,NA,a09_22,沙子,outside
507,NA,a09_23,花園,outside
508,NA,a09_24,彩虹,outside
509,NA,a09_25,棍子,outside
510,NA,a09_26,斑馬線,outside
511,NA,a09_27,水管,outside
512,NA,a09_28,旗子,outside
513,NA,a09_29,梯子,outside
514,NA,a09_30,鏟子,outside
515,NA,a10_03,學校/幼稚園,places
516,NA,a10_04,7-11(任何便利商店),places
517,NA,a10_05,**的家,places
518,NA,a10_07,菜市場,places
519,NA,a10_08,XX園(某遊戲樂園名稱),places
520,NA,a10_09,動物園,places
521,NA,a10_10,醫院(或診所),places
522,NA,a10_11,火車站(車站),places
523,NA,a10_12,商店/百貨公司,places
524,NA,a10_13,加油站,places
525,NA,a10_14,游泳池,places
526,NA,a10_15,海,places
527,NA,a10_16,停車場,places
528,NA,a10_17,餐廳,places
529,NA,a10_18,運動場/操場,places
530,NA,a10_19,郵局,places
531,NA,a10_20,圖書館,places
532,NA,a10_21,河,places
533,NA,a10_22,山上,places
534,NA,a10_23,遊樂園,places
535,NA,a10_24,教堂/廟,places
536,NA,a10_25,大樓,places
537,NA,a11_23,轉圈圈,games_routines
538,NA,a11_24,聽音樂,games_routines
539,NA,a11_25,游泳,games_routines
540,NA,a11_26,堆積木,games_routines
541,NA,a11_27,請,games_routines
542,NA,a11_28,早餐,games_routines
543,NA,a11_29,午餐,games_routines
544,NA,a11_30,晚餐,games_routines
545,NA,a12_29,**人的,people
546,NA,a12_30,老師,people
547,NA,a12_31,舅媽,people
548,NA,a12_32,警察,people
549,NA,a12_33,姑丈,people
550,NA,a12_34,嬸嬸,people
551,NA,a12_35,大家,people
552,NA,a12_36,老闆,people
553,NA,a12_37,男生,people
554,NA,a12_38,女生,people
555,NA,a12_39,別人,people
556,NA,a12_40,朋友,people
557,NA,a12_41,我們,people
558,NA,a12_42,護士,people
559,NA,a12_43,你們,people
560,NA,a12_44,我們的,people
561,NA,a12_45,小姐,people
562,NA,a12_46,司機,people
563,NA,a12_47,你們的,people
564,NA,a12_48,他們,people
565,NA,a12_49,他們的,people
566,NA,a12_50,郵差,people
567,NA,a12_51,先生,people
568,NA,a13_05,早上,time_words
569,NA,a13_06,白天,time_words
570,NA,a13_07,現在,time_words
571,NA,a13_08,先,time_words
572,NA,a13_09,今天,time_words
573,NA,a13_10,已經,time_words
574,NA,a13_11,中午,time_words
575,NA,a13_12,昨天,time_words
576,NA,a13_13,明天,time_words
577,NA,a13_14,星期…,time_words
578,NA,a13_15,這次,time_words
579,NA,a13_16,下次,time_words
580,NA,a13_17,早(一點),time_words
581,NA,a13_18,晚(一點),time_words
582,NA,a13_19,時間,time_words
583,NA,a13_20,上次,time_words
584,NA,a13_21,以前,time_words
585,NA,a13_22,以後,time_words
586,NA,a14_12,上面,locations
587,NA,a14_13,下面,locations
588,NA,a14_14,在…上面,locations
589,NA,a14_15,在…下面,locations
590,NA,a14_16,在…後面,locations
591,NA,a14_17,在…裡面,locations
592,NA,a14_18,旁邊,locations
593,NA,a14_19,…的…,locations
594,NA,a14_20,到…裡,locations
595,NA,a14_21,在…旁邊,locations
596,NA,a14_22,向(往)上,locations
597,NA,a14_23,向(往)下,locations
598,NA,a14_24,在…中間,locations
599,NA,a15_40,寫,action_words
600,NA,a15_61,工作/上班,action_words
601,NA,a15_62,掃地,action_words
602,NA,a15_63,站,action_words
603,NA,a15_64,幫忙,action_words
604,NA,a15_65,煮,action_words
605,NA,a15_66,切,action_words
606,NA,a15_67,帶,action_words
607,NA,a15_68,打破,action_words
608,NA,a15_69,罵,action_words
609,NA,a15_70,喜歡,action_words
610,NA,a15_71,忘記,action_words
611,NA,a15_72,倒,action_words
612,NA,a15_73,綁,action_words
613,NA,a15_74,推,action_words
614,NA,a15_75,蹲,action_words
615,NA,a15_76,想,action_words
616,NA,a15_77,教我,action_words
617,NA,a15_78,捏,action_words
618,NA,a15_79,撕,action_words
619,NA,a15_80,流(鼻涕),action_words
620,NA,a15_81,滑,action_words
621,NA,a15_82,討厭,action_words
622,NA,a15_83,數數,action_words
623,NA,a15_84,裝,action_words
624,NA,a15_85,藏,action_words
625,NA,a15_86,拔,action_words
626,NA,a15_87,投,action_words
627,NA,a15_88,告訴,action_words
628,NA,a15_89,夾,action_words
629,NA,a15_90,曬,action_words
630,NA,a15_91,拆,action_words
631,NA,a15_92,吞,action_words
632,NA,a15_93,聞,action_words
633,NA,a15_94,假裝,action_words
634,NA,a15_95,記,action_words
635,NA,a15_96,以為,action_words
636,NA,a16_01,和,connecting_words
637,NA,a16_02,因為,connecting_words
638,NA,a16_03,可是,connecting_words
639,NA,a16_04,…就…,connecting_words
640,NA,a16_05,如果,connecting_words
641,NA,a16_06,所以,connecting_words
642,NA,a16_07,先…然後…,connecting_words
643,NA,a16_08,後來,connecting_words
644,NA,a17_30,好重/重重的,descriptive_words
645,NA,a17_31,好辣/辣辣的,descriptive_words
646,NA,a17_32,紅紅的/紅色的,descriptive_words
647,NA,a17_33,大的,descriptive_words
648,NA,a17_34,小的,descriptive_words
649,NA,a17_35,圓的/圓形的,descriptive_words
650,NA,a17_36,生氣的,descriptive_words
651,NA,a17_37,三角形的,descriptive_words
652,NA,a17_38,生病了,descriptive_words
653,NA,a17_39,好硬/硬硬的,descriptive_words
654,NA,a17_40,一樣的,descriptive_words
655,NA,a17_41,好酸/酸酸的,descriptive_words
656,NA,a17_42,黃色的,descriptive_words
657,NA,a17_43,好快/快的,descriptive_words
658,NA,a17_44,好累/累了,descriptive_words
659,NA,a17_45,綠色的,descriptive_words
660,NA,a17_46,大聲,descriptive_words
661,NA,a17_47,藍藍的/藍色的,descriptive_words
662,NA,a17_48,黑色的/黑黑的,descriptive_words
663,NA,a17_49,白色的,descriptive_words
664,NA,a17_50,好的,descriptive_words
665,NA,a17_51,長長的,descriptive_words
666,NA,a17_52,醒了/醒著,descriptive_words
667,NA,a17_53,好軟/軟軟的,descriptive_words
668,NA,a17_54,黏黏的,descriptive_words
669,NA,a17_55,好慢/慢慢的,descriptive_words
670,NA,a17_56,新的,descriptive_words
671,NA,a17_57,第一/第一名,descriptive_words
672,NA,a17_58,可憐的,descriptive_words
673,NA,a17_59,討厭的,descriptive_words
674,NA,a17_60,好苦/苦苦的,descriptive_words
675,NA,a17_61,長方形的,descriptive_words
676,NA,a17_62,乾乾的,descriptive_words
677,NA,a17_63,夠了,descriptive_words
678,NA,a17_64,傷心的/難過的,descriptive_words
679,NA,a17_65,安靜的,descriptive_words
680,NA,a17_66,滿滿的,descriptive_words
681,NA,a17_67,好吵/吵鬧的,descriptive_words
682,NA,a17_68,冰冰的,descriptive_words
683,NA,a17_69,快一點,descriptive_words
684,NA,a17_70,太多了,descriptive_words
685,NA,a18_07,一樣多,quantifiers
686,NA,a18_08,全部(通通),quantifiers
687,NA,a18_09,也有、也是,quantifiers
688,NA,a18_10,一半(半個),quantifiers
689,NA,a18_11,這些,quantifiers
690,NA,a18_12,那些,quantifiers
